datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,11,0,1,-22.5892,-42.1200,10.7
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,11,0,1,-22.5928,-42.1195,16.5
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,11,0,0.8,-22.6097,-42.0806,7.6
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO BONITO,Mata Atlantica,11,0,1,-22.7444,-42.5117,4.5
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,14,0,1,-22.8126,-42.3848,5.3
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,SAO GONCALO,Mata Atlantica,11,0,1,-22.8752,-42.9374,6.4
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,11,0.1,1,-22.8966,-43.5271,11.5
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9083,-42.4383,5.7
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9119,-42.4378,6.8
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9125,-42.4425,6.8
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,SAQUAREMA,Mata Atlantica,16,0.1,1,-22.9162,-42.4419,6.8
2019/01/16 16:12:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,11,0,0.6,-22.9412,-43.5386,4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,BOM JARDIM,Mata Atlantica,9,1,0.3,-22.2567,-42.3412,1.4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,NOVA FRIBURGO,Mata Atlantica,9,2.6,0.1,-22.2796,-42.4401,5.5
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,PARACAMBI,Mata Atlantica,6,6,0.1,-22.5773,-43.7353,1.4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,10,0,1,-22.6031,-42.0878,23.2
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,11,0,1,-22.6685,-42.0798,4.4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,8,1.4,1,-22.7108,-43.7538,3.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,ITAGUAI,Mata Atlantica,8,1.5,1,-22.7114,-43.7576,3.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,-999,0,1,-22.7523,-41.9954,4.1
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,NOVA IGUACU,Mata Atlantica,7,0,1,-22.7536,-43.6076,2.9
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,7,0.1,1,-22.7588,-43.6645,4.4
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,RIO BONITO,Mata Atlantica,10,0,1,-22.7603,-42.5866,2.8
2019/01/15 16:30:00,NPP-375,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,7,0.1,1,-22.7616,-43.6602,23.7
